time,open,high,low,close,Volume
2015-10-12T19:00:00+03:00,62693,63779,62654,63451,793681
2015-10-12T23:00:00+03:00,63447,63530,63430,63480,45041
2015-10-13T07:00:00+03:00,63460,63656,63185,63368,596065
2015-10-13T11:00:00+03:00,63369,64214,63310,64176,1923345
2015-10-13T15:00:00+03:00,64177,64197,63527,63722,1781955
2015-10-13T19:00:00+03:00,63774,64427,63622,64288,574976
2015-10-13T23:00:00+03:00,64289,64398,64206,64320,87072
2015-10-14T07:00:00+03:00,64282,64512,64080,64306,573168
2015-10-14T11:00:00+03:00,64306,64435,64090,64253,1017884
2015-10-14T15:00:00+03:00,64251,64329,63822,64027,1730238
2015-10-14T19:00:00+03:00,64030,64192,63665,63742,496969
2015-10-14T23:00:00+03:00,63745,63978,63736,63889,120467
2015-10-15T07:00:00+03:00,63864,63864,63220,63373,519136
2015-10-15T11:00:00+03:00,63378,63467,62961,63344,1205868
2015-10-15T15:00:00+03:00,63345,63789,63122,63370,1149380
2015-10-15T19:00:00+03:00,63375,63435,62523,62523,665239
