sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,trades_per_yr,win_rate_pct,year,approach,strategy,timeframe,ticker
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,A,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,A,S5_PivotPoints,daily,AFLT
0.493,2.17,4.4,-1.54,0.94,1,0.8,100.0,2025,A,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,B,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,B,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,B,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025,B,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,D,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,D,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,D,S5_PivotPoints,daily,AFLT
0.7321,3.07,4.19,-0.4,0.63,1,0.8,100.0,2025,D,S5_PivotPoints,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2020,A,S6_VWAP,daily,AFLT
-0.9406,-1.54,1.64,-2.14,3.53,1,1.0,0.0,2021,A,S6_VWAP,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,A,S6_VWAP,daily,AFLT
-0.306,-0.93,3.02,-4.06,3.15,2,2.0,50.0,2023,A,S6_VWAP,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,A,S6_VWAP,daily,AFLT
0.493,2.17,4.4,-1.54,0.94,1,0.8,100.0,2025,A,S6_VWAP,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,B,S6_VWAP,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,B,S6_VWAP,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,B,S6_VWAP,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025,B,S6_VWAP,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,D,S6_VWAP,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,D,S6_VWAP,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,D,S6_VWAP,daily,AFLT
0.493,2.17,4.4,-1.54,0.94,1,0.8,100.0,2025,D,S6_VWAP,daily,AFLT
1.7486,3.9,2.23,-0.35,0.31,2,2.0,100.0,2020,A,S1_MeanRev,hourly,AFLT
-1.9996,-2.04,1.02,-2.06,0.13,2,2.0,0.0,2021,A,S1_MeanRev,hourly,AFLT
0.12,0.37,3.05,-2.03,0.82,3,3.3,66.7,2022,A,S1_MeanRev,hourly,AFLT
-0.9205,-1.22,1.33,-1.72,0.96,3,3.0,0.0,2023,A,S1_MeanRev,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,A,S1_MeanRev,hourly,AFLT
1.0529,1.36,1.29,-0.43,0.28,1,0.8,100.0,2025,A,S1_MeanRev,hourly,AFLT
